region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,H_4_bits,H_6_bits,H_8_bits,H_9_bits,H_10_bits,H_11_bits,H_12_bits
10E,10ED002,273521.7,59.89385409508239,-125.49775419172585,-1188.66,3.89401,0.72,0.1,0.15,0.01,0.01,0.0,0.01,0.0,0.0,0.7,0.11,0.16,0.01,0.01,0.0,0.01,0.0,0.0,0.61,0.11,0.2,0.06,0.01,0.0,0.01,0.0,0.0,,,,,,,,584.2,-8.6,3.0,409.5,185.1,211.2,4.5,0.7,1.0,0.1,2.0704977537229334,3.3636240888172524,5.881901565494933,7.346991513913013,8.635822983580905,9.645366743629616,9.969898125663175
CLR,08NA001,376.2,50.80632861889851,-116.63857534521344,-1219.15,21.02953,0.54,0.06,0.24,0.01,0.01,0.02,0.02,0.1,-2.220446049250313e-16,0.53,0.07,0.29,0.01,0.01,0.02,0.02,0.05,-2.220446049250313e-16,0.5,0.08,0.35,0.01,0.01,0.01,0.01,0.03,0.0,24.67361068725586,42.68815135319471,2057.049560546875,1968.213623046875,3189.092529296875,790.6849975585938,1968.213623046875,1110.4,-5.1,4.6,479.0,485.8,298.2,3.3,0.6,1.1,0.0,2.3475033398768255,4.196801830834326,7.047822874663934,7.867587298824215,8.161987096201761,8.183202946043401,8.183202946043401
CLR,08NA002,6658.3,50.696753041671705,-116.46753453336548,-1277.64,13.75505,0.63,0.07,0.19,0.01,0.01,0.01,0.02,0.06,0.0,0.61,0.07,0.23,0.01,0.01,0.01,0.02,0.03,0.01,0.56,0.09,0.28,0.01,0.01,0.01,0.02,0.02,0.0,22.670747756958008,33.4633472848256,1792.0303955078125,1750.81298828125,3484.0,780.1591796875,1750.81298828125,1005.7,-4.3,6.0,508.9,390.8,290.9,3.4,0.6,1.0,0.0,2.4261421657610165,4.095317033328981,5.881358006298148,7.200571405141744,8.469392987910595,9.271166038755172,9.527647220903834
CLR,08NA005,603.1,50.5228205250235,-116.4659894417186,-1314.59,20.97613,0.44,0.04,0.25,0.01,0.01,0.02,0.03,0.2,0.0,0.44,0.05,0.31,0.01,0.01,0.03,0.03,0.12,0.0,0.41,0.06,0.4,0.01,0.01,0.01,0.02,0.07,0.01,28.36886978149414,16.57504312188409,2202.30517578125,2130.489013671875,3484.0,815.9157104492188,2130.489013671875,1152.1,-6.1,4.0,459.6,593.1,299.2,3.4,0.6,1.0,0.0,3.6737101463232333,5.5456794894613415,7.351112191435202,7.864345694865721,8.088455162113585,8.099623897012519,8.099623897012515
CLR,08NA006,1840.5,51.33357344365516,-116.55003310704394,-1332.59,9.01666,0.57,0.05,0.25,0.01,0.01,0.01,0.02,0.08,0.0,0.56,0.05,0.29,0.01,0.01,0.01,0.02,0.06,-0.01,0.53,0.06,0.34,0.01,0.01,0.01,0.01,0.04,-0.01,25.559711456298828,182.33046569358,1950.0418701171875,1932.9140625,3525.69873046875,787.8843994140625,1932.9140625,959.0,-5.6,4.5,461.3,381.1,291.4,3.3,0.6,1.0,0.0,2.377400422933942,2.9942791140930147,6.253255136231294,7.445882031199572,8.659313814960901,9.619845284340968,10.227864399886913
CLR,08NA012,678.0,50.37718012099998,-116.37912957568903,-1360.47,20.55048,0.55,0.06,0.26,0.01,0.01,0.02,0.02,0.08,-0.01,0.54,0.06,0.29,0.01,0.01,0.02,0.02,0.05,-2.220446049250313e-16,0.52,0.1,0.31,0.01,0.01,0.01,0.01,0.03,0.0,27.735843658447266,36.37102660331548,2048.0,2002.2796630859373,3418.403076171875,803.74267578125,2002.2796630859373,1117.0,-5.5,4.9,483.6,487.4,301.4,3.3,0.6,1.0,0.0,3.4315763076810275,5.0515460392035,7.237840508791258,8.318927508279089,9.203714209141701,9.617824615776662,9.686965221207826
CLR,08NA020,21.1,50.58435237587358,-115.96306658991992,-1369.45,8.71748,0.92,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.04,0.09,0.01,0.01,0.0,0.0,0.0,0.0,31.43754768371582,217.8189067870056,1658.90673828125,1690.43115234375,2536.0107421875,1093.004638671875,1690.43115234375,754.5,-4.4,6.3,497.3,198.7,296.3,3.7,0.7,1.0,0.0,1.4564757512591082,3.7554161841462395,5.058044708493888,5.058044708493887,5.058044708493887,5.058044708493887,5.058044708493886
CLR,08NA037,9.6,51.16210304843432,-116.72114188718164,-1527.45,15.22412,0.65,0.15,0.16,0.01,0.03,0.0,0.0,0.0,0.0,0.65,0.15,0.17,0.01,0.03,0.0,0.0,0.0,-0.01,0.53,0.19,0.24,0.02,0.03,0.0,0.0,0.0,-0.01,28.335094451904297,217.16507537151125,1694.5599365234375,1664.22509765625,2523.390380859375,995.3136596679688,1664.22509765625,1002.0,-4.2,5.7,503.9,344.8,296.6,3.2,0.6,1.0,0.0,0.9728362712877171,3.6075078029688115,4.8007610893491295,4.8007610893491295,4.80076108934913,4.80076108934913,4.80076108934913
CLR,08NA039,10.0,50.7056592648572,-116.05516873499174,-1453.75,10.81585,0.92,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.01,32.38824844360352,250.02865263367957,1752.288330078125,1746.956787109375,2475.0,1082.2655029296875,1746.956787109375,734.2,-4.4,6.3,496.6,192.0,286.7,3.8,0.7,1.0,0.0,2.2086048289288382,3.9120271972052536,4.966926652851569,5.011249506918745,5.011249506918746,5.011249506918746,5.011249506918745
CLR,08NA052,3561.7,50.4533828768276,-116.22993369580706,-1309.19,13.93052,0.62,0.06,0.21,0.01,0.01,0.01,0.02,0.06,0.0,0.61,0.06,0.23,0.01,0.01,0.02,0.02,0.04,0.0,0.57,0.07,0.28,0.01,0.01,0.01,0.02,0.02,0.01,23.62183952331543,25.637095857089484,1804.4580078125,1764.8267822265625,3484.0,782.785400390625,1764.8267822265625,919.5,-4.3,6.3,509.5,343.8,291.2,3.6,0.6,1.0,0.0,3.7306096299284057,5.553187747804202,7.504333367057012,8.328746750358027,8.593444577456653,8.603213011170533,8.603213011170533
CLR,08NA053,118.6,51.41348323609659,-116.35392851803668,-1275.65,13.93393,0.39,0.03,0.39,0.01,0.01,0.02,0.03,0.11,0.0099999999999998,0.38,0.03,0.44,0.01,0.01,0.02,0.03,0.07,0.0099999999999997,0.36,0.03,0.53,0.01,0.01,0.02,0.02,0.02,0.0,26.897197723388672,260.6370762293873,2246.740478515625,2252.32568359375,3459.92724609375,1563.1185302734375,2252.32568359375,956.1,-7.3,2.6,410.2,447.0,301.3,3.5,0.6,1.0,0.0,2.2229623764484447,4.366940679913521,7.329421352284385,8.199320367715249,8.703321503900446,8.946411100774633,9.043433823713464
CLR,08NA055,17.5,50.44128595112575,-116.13305988233142,-1239.37,25.55102,0.79,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0099999999999998,0.79,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0099999999999998,0.73,0.06,0.2,0.01,0.01,0.0,0.0,0.0,-0.01,27.92366981506348,46.81580171848966,2022.002197265625,1969.4874267578125,2650.849365234375,1113.698486328125,1969.4874267578125,941.7,-5.3,5.1,477.8,335.0,291.1,3.5,0.7,1.1,0.0,3.105041991371305,5.022835629410778,6.019881249808417,6.20153622847602,6.216190716645835,6.216190716645834,6.216190716645835
CLR,08NA056,4.8,50.59092807385574,-116.00785329155832,-1539.92,10.59472,0.98,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.03,0.05,0.01,0.01,0.0,0.0,0.0,-0.01,30.35380744934082,240.22502020718835,1541.6181640625,1532.10791015625,2051.791259765625,977.8551635742188,1532.10791015625,653.0,-2.8,8.4,545.8,126.2,285.7,3.7,0.7,1.0,0.0,2.3982906672710076,2.523378020064436,2.523378020064436,2.523378020064436,2.5233780200644356,2.523378020064436,2.523378020064436
CLR,08NA058,10.3,50.32532566131708,-115.80163805541356,-1216.2,10.74413,0.7,0.04,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.7,0.03,0.24,0.01,0.01,0.0,0.0,0.0,0.01,0.59,0.05,0.32,0.02,0.02,0.0,0.0,0.0,0.0,33.06471633911133,274.6363612595685,1872.412109375,1835.7039794921875,2626.0,999.2042236328124,1835.7039794921875,803.1,-4.6,5.8,498.9,253.0,292.6,3.8,0.7,1.0,0.0,3.326348908725737,4.105789379507911,4.13865470954225,4.138654709542248,4.138654709542248,4.138654709542249,4.138654709542249
CLR,08NB001,741.0,51.5790160391945,-116.8127239479693,-1264.09,7.50363,0.5,0.08,0.25,0.02,0.01,0.02,0.02,0.1,0.0,0.49,0.08,0.29,0.02,0.01,0.02,0.02,0.07,0.0,0.45,0.1,0.35,0.01,0.01,0.01,0.02,0.05,0.0,26.49692153930664,232.39414624105285,1917.752685546875,1868.3172607421875,3323.3896484375,788.4637451171875,1868.3172607421875,1042.2,-5.4,4.6,469.3,439.6,289.4,3.2,0.6,1.0,0.0,2.9726623792786797,4.616270724330896,7.168469775550344,8.162631434842217,8.81411562786136,8.976145485747459,8.982171398874094
CLR,08NB005,9694.6,50.91659364738533,-116.53687827384952,-1282.92,12.15208,0.61,0.06,0.21,0.01,0.01,0.01,0.02,0.06,0.01,0.6,0.07,0.24,0.01,0.01,0.01,0.02,0.04,0.0,0.55,0.08,0.29,0.01,0.01,0.01,0.02,0.03,0.0,23.25141906738281,52.25911369881804,1822.4671630859373,1777.4150390625,3525.69873046875,760.7471923828125,1777.4150390625,998.5,-4.5,5.7,499.1,389.1,289.9,3.4,0.6,1.0,0.0,1.3064875283636583,3.137508049939296,5.6027363192895185,6.9533983003190825,8.432573025542641,9.387997243261285,9.725358724833232
CLR,08NB009,25.4,51.37435213091013,-116.90928928000628,-1492.51,10.53584,0.78,0.07,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.77,0.07,0.14,0.01,0.01,0.0,0.0,0.0,0.0,0.73,0.06,0.18,0.01,0.01,0.0,0.0,0.0,0.01,27.800085067749023,223.04125239290929,1934.8118896484373,1892.0863037109373,2618.059814453125,1037.420654296875,1892.0863037109373,1180.4,-4.9,4.6,484.9,460.5,305.5,3.0,0.6,1.0,0.0,2.5198611701950187,4.098063904586411,6.198257276167,7.030964854629407,7.489411438319939,7.623117135328074,7.623117135328075
CLR,08NB010,22.9,51.34043703083376,-116.90086008819895,-1384.4,10.75967,0.85,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.85,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.01,0.75,0.09,0.14,0.01,0.01,0.0,0.0,0.0,0.0,26.308813095092773,236.5754969371917,1620.0621337890625,1600.6746826171875,2459.567626953125,958.6101684570312,1600.6746826171875,1056.0,-4.0,6.0,514.4,368.4,294.7,3.1,0.6,1.0,0.0,3.2699302983572753,4.6054549063311985,5.962745681894074,6.229670170363496,6.250293218546928,6.25029321854693,6.25029321854693
CLR,08NB012,588.2,51.61332073230473,-116.7728580557862,-1299.04,8.7448,0.44,0.07,0.28,0.02,0.01,0.02,0.02,0.13,0.0099999999999998,0.43,0.07,0.33,0.02,0.01,0.02,0.02,0.09,0.0099999999999998,0.41,0.09,0.38,0.01,0.01,0.01,0.02,0.06,0.01,27.479230880737305,226.7809785634741,2013.10693359375,1962.194091796875,3323.3896484375,854.9559326171875,1962.194091796875,1055.6,-5.9,4.1,454.5,466.9,291.5,3.2,0.6,1.0,0.0,2.373691228038635,3.9698487306847277,6.035212369647506,7.388046298073849,8.67344294364678,9.617284847336013,9.967022525425945
CLR,08NB014,428.6,51.57055957339131,-117.81962742879524,-1306.84,19.05403,0.39,0.06,0.26,0.01,0.01,0.03,0.03,0.22,-0.01,0.38,0.07,0.34,0.01,0.01,0.03,0.03,0.14,-0.01,0.35,0.1,0.37,0.01,0.01,0.02,0.02,0.11,0.01,26.746807098388672,46.47670914664466,2099.39306640625,2031.9942626953125,3505.00830078125,768.7071533203125,2031.9942626953125,1811.6,-5.0,3.3,489.4,988.2,289.0,2.9,0.5,1.0,0.0,0.3796107868109326,2.492051803825738,6.255064590094203,7.65992309124899,8.969139469318135,9.761218248042951,10.105159029241229
CLR,08NB016,79.4,51.47579925383084,-116.81674375769596,-1435.77,9.26514,0.41,0.1,0.4,0.01,0.02,0.01,0.01,0.03,0.0099999999999998,0.41,0.1,0.43,0.02,0.02,0.01,0.01,0.01,-0.01,0.42,0.11,0.43,0.01,0.01,0.0,0.0,0.0,0.02,30.532306671142575,296.5733839769378,2002.8004150390625,1989.136962890625,2933.236572265625,976.32763671875,1989.136962890625,1153.8,-5.7,3.7,458.5,507.3,290.3,3.1,0.6,1.0,0.0,2.1520993391181493,3.445227731553342,5.75610001117286,6.9575295059613715,8.102996396734001,8.813556369886326,9.069424789561104
CLR,08NB018,12.3,51.3003202879663,-117.55880074258698,-1250.0,27.0,0.29,0.14,0.38,0.05,0.02,0.02,0.02,0.08,-2.220446049250313e-16,0.27,0.14,0.48,0.03,0.02,0.02,0.02,0.02,0.0,0.23,0.18,0.53,0.02,0.02,0.01,0.0,0.0,0.0099999999999998,30.530723571777344,107.1576040288909,2045.708740234375,2026.853759765625,2746.614013671875,1306.5880126953125,2026.853759765625,1735.7,-4.4,3.7,506.1,802.5,301.8,2.9,0.5,0.9,0.0,1.403432002591646,3.9766811191932847,6.341491084181441,7.121807818648333,7.602878916405913,7.682231443630768,7.6879766498236775
CLR,08NB019,1156.4,51.3509112625099,-117.52885957283084,-1224.72,13.54681,0.53,0.06,0.22,0.01,0.01,0.02,0.02,0.14,-0.01,0.52,0.06,0.27,0.01,0.01,0.02,0.02,0.09,-2.220446049250313e-16,0.46,0.1,0.32,0.01,0.01,0.01,0.01,0.06,0.02,26.55840301513672,83.28431600708576,1906.623046875,1873.0335693359373,3350.18505859375,772.4884033203125,1873.0335693359373,1645.5,-4.3,4.2,510.3,788.6,289.7,2.9,0.5,1.0,0.0,1.0013400470894769,3.3901123891618994,5.891309073063402,7.318650756484977,8.595484100939148,9.519963303147835,10.155194621712646
CLR,08NB020,7.7,51.432588035519785,-117.70869558353726,-1250.0,27.0,0.01,0.0,0.18,0.0,0.0,0.03,0.03,0.74,0.01,0.01,0.0,0.22,0.0,0.0,0.05,0.05,0.67,0.0,0.01,0.0,0.32,0.0,0.01,0.05,0.06,0.55,0.0,25.937707901000977,7.598042631952167,2396.37744140625,2401.5380859375,2979.643310546875,1837.2374267578125,2401.5380859375,1990.9,-5.7,1.8,466.0,1216.6,288.8,2.9,0.5,1.0,0.0,2.4415962335320853,5.003324661106644,6.765783918716076,7.365603975139784,7.597801657929635,7.657671815639843,7.657671815639846
CLR,08NC003,365.0,52.72397004602234,-119.50033976548052,-1428.41,18.64136,0.44,0.07,0.17,0.01,0.01,0.02,0.02,0.26,0.0,0.44,0.07,0.21,0.01,0.01,0.02,0.02,0.22,0.0,0.38,0.1,0.25,0.01,0.01,0.02,0.02,0.2,0.01,26.36440658569336,90.08289238379346,1876.0308837890625,1851.671875,3340.7001953125,779.8751831054688,1851.671875,1323.6,-6.9,4.4,447.4,684.1,284.3,2.9,0.5,1.0,0.0,3.3525699830310995,5.397294307443555,7.214301243840419,7.635087151677989,7.800660960941737,7.80066096094174,7.800660960941737
CLR,08NC004,307.2,52.721078633051846,-119.53111305082707,-1415.32,20.51514,0.37,0.07,0.19,0.01,0.01,0.02,0.02,0.31,0.0,0.37,0.07,0.23,0.01,0.01,0.03,0.03,0.26,-0.01,0.32,0.1,0.27,0.01,0.01,0.03,0.03,0.24,-0.01,27.648027420043945,158.41278188268055,1960.2955322265625,1929.9346923828125,3340.7001953125,962.6318359375,1929.9346923828125,1368.7,-7.3,4.0,435.5,748.3,287.7,2.9,0.5,1.0,0.0,1.197278317183843,2.855748645808933,5.8568307852178885,7.639746914007727,8.855318054452942,9.587757384167492,9.888137740444279
CLR,08ND006,28299.5,51.51554921067655,-117.56964908947675,-1340.63,12.40752,0.54,0.08,0.2,0.01,0.01,0.02,0.04,0.11,-0.01,0.53,0.08,0.24,0.01,0.01,0.02,0.04,0.07,0.0,0.48,0.12,0.28,0.01,0.01,0.01,0.03,0.05,0.0099999999999998,24.994359970092773,41.91659271935684,1767.0,1724.4197998046875,3728.04150390625,436.7154846191406,1724.4197998046875,1231.4,-4.5,5.7,508.3,486.0,285.4,3.1,0.5,1.0,0.0,3.5512969287583602,5.2842383527776216,7.460761157914602,8.436416350142181,8.835056745536344,8.865305426359063,8.865305426359061
CLR,08ND012,934.0,51.65250015525397,-118.24879673605096,-1346.5,18.42648,0.57,0.11,0.19,0.01,0.01,0.01,0.01,0.09,1.1102230246251563e-16,0.55,0.11,0.24,0.01,0.01,0.01,0.01,0.06,0.0,0.49,0.18,0.24,0.01,0.01,0.01,0.01,0.05,0.0,28.108856201171875,16.309447386875068,1708.21826171875,1650.1451416015625,2915.932373046875,601.2330322265625,1650.1451416015625,1607.5,-3.7,5.5,539.8,627.6,282.8,2.9,0.5,1.0,0.0,1.2869930915640502,3.240585290963391,5.691194336623643,6.940757399475526,8.207962389954734,9.260491573854303,9.942156547870377
CLR,08ND013,1148.6,51.170791616953714,-117.8326644146462,-1478.77,12.30497,0.55,0.09,0.18,0.01,0.01,0.02,0.02,0.12,0.0,0.54,0.1,0.24,0.01,0.01,0.02,0.02,0.07,-0.01,0.48,0.17,0.26,0.01,0.01,0.01,0.01,0.05,0.0,29.201778411865234,46.06908542714831,1770.4891357421875,1722.489013671875,3273.553466796875,506.8320617675781,1722.489013671875,1658.0,-3.2,5.0,553.0,665.6,280.1,2.9,0.5,0.9,0.0,1.7051831561292974,3.044730329354837,5.697672554152275,7.1844355273027265,8.388321792295958,9.293889503509506,9.919401803250533
CLR,08ND018,116.5,51.6859780778636,-118.0219526396958,-1319.91,14.11394,0.31,0.08,0.27,0.01,0.01,0.03,0.03,0.26,0.0,0.3,0.09,0.37,0.01,0.01,0.03,0.03,0.16,0.0,0.27,0.14,0.37,0.01,0.02,0.02,0.02,0.14,0.0099999999999998,28.948366165161133,325.1861899490777,2007.0,1971.617919921875,2883.0,956.2348022460938,1971.617919921875,1793.9,-5.1,3.6,490.3,912.3,292.1,2.9,0.5,1.0,0.0,2.370246869233719,4.360017116724073,6.2066562249111845,7.330430607889175,8.44731756530066,9.226598211042592,9.610719612364017
CLR,08ND019,113.5,51.58309508267263,-118.7516571859356,-1398.38,1.19915,0.61,0.07,0.13,0.01,0.01,0.02,0.03,0.13,-0.01,0.58,0.08,0.21,0.01,0.01,0.02,0.03,0.06,0.0,0.54,0.15,0.23,0.01,0.01,0.01,0.02,0.03,0.0,20.42803382873535,1.50778361143855,1728.649169921875,1636.7789306640625,2595.389892578125,702.0875244140625,1636.7789306640625,1478.2,-3.7,5.6,541.1,511.9,287.2,2.9,0.5,1.0,0.0,1.101414908611406,3.4285932965563735,6.021693811076304,7.482123269502536,8.509929024851438,9.22214233477942,9.576611784602413
CLR,08NE006,319.1,50.34198990471099,-117.5651308254918,-1400.85,0.98623,0.6,0.13,0.21,0.01,0.01,0.01,0.01,0.02,0.0,0.59,0.13,0.23,0.01,0.01,0.01,0.01,0.01,0.0,0.56,0.16,0.24,0.01,0.02,0.0,0.0,0.0,0.0099999999999998,27.11845970153809,255.510040310639,1696.5076904296875,1645.9482421875,2651.644287109375,642.0,1645.9482421875,1398.6,-2.9,6.7,570.2,461.1,297.8,3.1,0.5,1.0,0.0,1.9358145428924496,3.526995367173119,5.770649391907237,7.117777262008987,8.495965467134832,9.438645823519424,9.891990166922469
CLR,08NE008,94.7,50.67081054129437,-117.68158016496676,-1103.83,1.57453,0.78,0.09,0.1,0.01,0.0,0.0,0.01,0.0,0.01,0.76,0.09,0.12,0.01,0.0,0.0,0.01,0.0,0.01,0.64,0.2,0.12,0.01,0.01,0.0,0.01,0.0,0.0099999999999998,26.85425567626953,28.48930589660447,1518.0155029296875,1473.13427734375,2539.031005859375,471.6322937011719,1473.13427734375,1379.8,-1.9,7.1,600.4,402.5,278.4,3.1,0.5,1.0,0.0,0.944812832125426,2.972668582505604,5.670519488782816,6.992150810732373,8.175405026571505,8.97589592863627,9.279043771325963
CLR,08NE021,0.9,50.25631696303761,-117.72612535248568,-1052.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.09,0.04,0.0,0.0,0.0,0.0,0.0,-0.01,30.213228225708008,196.49192688742136,1479.8858642578125,1482.9552001953125,1847.956298828125,1077.53466796875,1482.9552001953125,1284.6,-1.7,8.1,610.3,322.2,297.3,3.2,0.5,1.0,0.0,2.0160447117104954,3.0990641782968664,3.0990641782968655,3.0990641782968655,3.0990641782968655,3.0990641782968655,3.0990641782968655
CLR,08NE025,1.4,49.10088103410611,-117.58943591580334,-1052.0,0.0,0.78,0.18,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.19,0.04,0.0,0.0,0.0,0.0,0.0,-0.01,0.67,0.22,0.09,0.01,0.01,0.0,0.0,0.0,0.0,13.069037437438965,133.07277020336,1055.808349609375,1030.8001708984375,1165.4310302734375,760.21875,1030.8001708984375,970.1,1.7,12.1,748.4,69.8,265.7,3.9,0.6,1.0,0.0,2.9238166882128973,3.242801462316526,3.242801462316526,3.242801462316526,3.242801462316525,3.242801462316526,3.242801462316526
CLR,08NE039,346.6,49.14827585853687,-117.98290768465354,-1311.17,1.48788,0.81,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.73,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.01,18.861366271972656,155.10633648819436,1425.2318115234375,1389.092041015625,2375.960205078125,685.8023071289062,1389.092041015625,993.2,0.2,9.2,688.6,157.0,274.1,3.9,0.6,1.0,0.0,1.8727775727776128,2.469726908364436,5.579754249687966,7.115412407978509,8.35051823252379,9.194695980277396,9.643548735851713
CLR,08NE072,202.1,49.44509504688578,-117.7828352128062,-1414.57,0.96766,0.76,0.09,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.74,0.1,0.14,0.01,0.01,0.0,0.0,0.0,0.0,0.68,0.14,0.16,0.01,0.01,0.0,0.0,0.0,0.0,19.043291091918945,157.9487878554784,1697.2509765625,1584.35302734375,2558.084228515625,480.1588134765625,1584.35302734375,1342.1,-0.6,8.2,670.6,284.7,282.0,3.5,0.6,1.0,0.0,3.624877502361986,5.178328551726983,7.359120579525354,8.019206992301944,8.250923610158459,8.294925526486503,8.294925526486502
CLR,08NE073,146.9,49.27440543166016,-117.84653066317,-1190.93,0.66397,0.83,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.77,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.7,0.18,0.12,0.0,0.0,0.0,0.0,0.0,1.1102230246251563e-16,16.034517288208008,21.56493440120401,1387.084716796875,1405.2681884765625,2182.376220703125,571.5363159179688,1405.2681884765625,1095.1,0.4,9.2,704.5,159.5,267.7,3.7,0.6,1.0,0.0,3.20643789902357,4.839283674516385,6.625208831352015,7.6004188275581495,8.269102144511313,8.544482440274338,8.587426653312418
CLR,08NE074,1246.1,49.21448497841992,-117.21625375355292,-1345.51,8.16993,0.83,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.01,0.81,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.72,0.16,0.1,0.0,0.01,0.0,0.0,0.0,0.01,22.62221336364746,211.7858219969001,1483.0628662109375,1453.281005859375,2388.3779296875,593.1506958007812,1453.281005859375,1474.4,-0.4,8.8,668.8,224.0,275.9,3.7,0.6,1.1,0.0,0.8445168358766418,2.9435926551811034,5.695958620635923,7.090998707788841,8.35325712096816,9.423328768467762,10.04703227966978
CLR,08NE076,5.5,49.29955088123381,-117.68986690180148,-1136.95,0.2373,0.79,0.14,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.71,0.18,0.1,0.0,0.0,0.01,0.0,0.0,1.1102230246251563e-16,0.51,0.27,0.19,0.01,0.01,0.01,0.0,0.0,0.0,16.75246810913086,71.10246162844915,926.0712890625,938.9527587890624,1466.0389404296875,507.0604248046875,938.9527587890624,948.9,2.0,11.9,767.7,71.3,254.0,3.7,0.6,1.0,0.0,3.349927232129599,4.155239932889864,4.374937140632034,4.374937140632034,4.374937140632032,4.374937140632032,4.374937140632032
CLR,08NE077,198.0,50.044468930947446,-118.23291646476012,-1095.21,0.40373,0.87,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.86,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.0,13.46768283843994,160.19228431509242,1501.9998779296875,1455.1199951171875,2207.415283203125,588.8615112304688,1455.1199951171875,1081.0,-1.5,8.3,615.4,252.2,285.2,3.3,0.6,1.0,0.0,1.6263479787124802,2.86223724537022,5.659301641451583,7.195402979660023,8.38425518657409,9.09097833004699,9.431485726151138
CLR,08NE083,25.9,49.45199063113463,-117.96778343820772,-1052.15,0.00041,0.96,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.05,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,0.86,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,14.75460433959961,206.2266802970277,1304.3271484375,1317.2557373046875,2141.81689453125,544.6829833984375,1317.2557373046875,1145.1,0.1,9.6,691.0,185.5,283.5,3.5,0.6,1.0,0.0,3.590727047683702,4.9790781163241356,6.053784058118508,6.334857885757631,6.35359344509263,6.35359344509263,6.3535934450926295
CLR,08NE087,73.5,49.50096804391345,-118.0033390620837,-1147.95,0.27606,0.9,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.06,0.19,0.0,0.0,0.0,0.0,0.0,0.01,0.71,0.1,0.18,0.01,0.01,0.0,0.0,0.0,-0.01,20.607521057128903,224.04359839207893,1413.28955078125,1429.9356689453125,2367.627685546875,672.1829223632812,1429.9356689453125,1227.2,-0.6,9.1,666.0,243.9,285.4,3.5,0.6,1.0,0.0,1.2859122683750912,2.809112730516353,5.096119949173764,6.355615036519239,7.4970529457308555,8.377904663556714,8.78683490227681
