region,official_id,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,median_el,mean_el,max_el,min_el,elevation_m,prcp,tmin,tmax,vp,swe,srad,low_prcp_duration,low_prcp_freq,high_prcp_duration,high_prcp_freq,mean_runoff
ERK,05AB046,2509.9,-113.4073,49.75476,-1236.55,5.6727,0.25,0.15,0.33,0.01,0.24,0.01,0.01,0.0,0.0,0.24,0.16,0.33,0.01,0.24,0.01,0.01,0.0,0.0,0.11,0.33,0.37,0.01,0.16,0.01,0.01,0.0,0.0,5.818223,60.56725300481352,1264.406,1263.4637,2413.1152,932.20599,1263.4637,499.3,-2.2,10.5,558.2,51.3,281.3,6.0,0.8,1.0,0.1,0.21781733104309314
ERK,05AC030,406.9,50.42468844763279,-113.1081512848292,-1055.88,0.0,0.0,0.0,0.08,0.0,0.88,0.02,0.01,0.0,0.01,0.0,0.0,0.08,0.0,0.89,0.02,0.01,0.0,0.0,0.0,0.01,0.15,0.01,0.78,0.03,0.01,0.0,0.0099999999999998,1.2709696,56.7041433409085,989.30554,991.94086,1101.1241,877.87158,991.94086,392.7,-1.8,11.5,550.3,32.8,278.8,6.4,0.8,1.0,0.1,0.026215865182375793
ERK,05AC034,3552.6,50.27485758081209,-113.55217363912,-1127.09,0.4278,0.01,0.01,0.14,0.01,0.79,0.02,0.02,0.0,0.0,0.01,0.02,0.13,0.01,0.8,0.02,0.02,0.0,-0.01,0.0,0.06,0.2,0.02,0.66,0.02,0.02,0.0,0.02,1.3229665,21.687906496673744,1013.0311,1035.5723,1575.4213,857.8844,1035.5723,420.2,-1.8,11.8,556.9,33.4,279.1,6.3,0.8,1.0,0.1,0.06566923138547978
ERK,05AC930,785.9,50.54429330049465,-113.67602734393763,-1066.87,0.0,0.0,0.0,0.07,0.0,0.87,0.03,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.87,0.03,0.03,0.0,0.0,0.0,0.02,0.12,0.02,0.78,0.03,0.03,0.0,0.0,0.72515363,20.398285801377245,1024.0,1029.3365,1130.1241,967.82587,1029.3365,424.5,-1.9,11.6,556.6,33.1,277.1,6.2,0.8,1.0,0.1,0.19880762398077273
ERK,05AD003,617.3,49.01741320834228,-113.95902487070636,-1471.57,8.75441,0.55,0.13,0.25,0.01,0.01,0.0,0.03,0.0,0.02,0.54,0.16,0.24,0.01,0.01,0.0,0.03,0.0,0.0099999999999998,0.38,0.18,0.37,0.01,0.02,0.0,0.03,0.0,0.0099999999999998,23.167824,349.7919703347845,1846.6409,1833.1068,3187.4797,1274.2689,1833.1068,1303.9,-3.1,7.0,562.0,360.7,299.4,4.0,0.7,1.0,0.0,2.499982693173437
ERK,05AD016,30.9,49.26761104539472,-114.09189919346422,-1351.87,6.17491,0.47,0.13,0.35,0.02,0.02,0.0,0.0,0.0,0.01,0.47,0.13,0.36,0.02,0.02,0.0,0.0,0.0,0.0,0.38,0.23,0.34,0.02,0.02,0.01,0.0,0.0,0.0,21.21365,37.26833344352587,1932.2573,1913.6473,2494.4109,1469.3181,1913.6473,1118.1,-3.1,6.2,569.4,285.9,291.0,4.5,0.7,1.0,0.1,2.4664092341636974
ERK,05AD031,13.8,48.97833272362705,-113.85445724375413,-1497.5,10.6566,0.63,0.15,0.18,0.02,0.02,0.0,0.0,0.0,0.0,0.63,0.15,0.18,0.02,0.02,0.0,0.0,0.0,0.0,0.59,0.16,0.21,0.02,0.02,0.0,0.0,0.0,0.0,31.968737,253.15395463956176,1993.3491,1990.4098,2694.9956,1392.6475,1990.4098,1403.7,-3.5,6.3,551.8,403.2,308.7,4.1,0.7,1.0,0.0,3.0403026822072836
ERK,05AD033,25.2,48.96666638787416,-113.79507666544797,-1461.72,9.66292,0.45,0.23,0.28,0.02,0.02,0.0,0.01,0.0,-0.01,0.43,0.24,0.29,0.02,0.02,0.0,0.01,0.0,-0.01,0.41,0.24,0.29,0.02,0.02,0.0,0.01,0.0,0.01,31.217672,72.21140623989604,2106.6692,2098.8811,2892.2576,1550.2904,2098.8811,1525.2,-4.0,5.4,536.0,490.7,311.5,4.2,0.7,1.0,0.1,3.5221075324308444
ERK,05AD035,211.3,49.47712355168638,-113.12220572971144,-1154.34,0.0,0.0,0.04,0.14,0.01,0.8,0.01,0.0,0.0,0.0,0.0,0.04,0.14,0.01,0.8,0.0,0.0,0.0,0.0099999999999998,0.0,0.06,0.19,0.02,0.73,0.01,0.0,0.0,-0.01,1.3802637,31.83312259321451,1055.1616,1052.0675,1161.2355,925.94348,1052.0675,442.7,-1.0,12.3,588.3,34.8,284.8,6.3,0.8,1.0,0.1,0.061687371074607276
ERK,05AD042,48.3,49.1966753650722,-114.01737494575386,-1560.28,10.46716,0.34,0.13,0.46,0.02,0.05,0.0,0.0,0.0,0.0,0.33,0.14,0.46,0.02,0.05,0.0,0.0,0.0,0.0,0.24,0.28,0.43,0.02,0.03,0.0,0.0,0.0,0.0,23.377644,31.29902972392142,1898.1696,1915.0138,2621.104,1451.2621,1915.0138,1196.9,-3.0,6.3,572.7,311.3,291.4,4.3,0.7,1.0,0.1,2.130686263846352
